Product Name,Category,Unit Price,Cost Price,Competitor Price,Quantity Sold,Revenue,Inventory,Season,Date
UltraHD 4K Smart TV,Electronics,47028.21,32000,45325.9,5,235141.05,46.0,Summer,2025-06-17
Wireless Noise-Canceling Headphones,Electronics,7679.98,4500,8173.27,5,38399.9,118.0,Summer,2025-06-17
Classic Denim Jacket,Apparel,2537.72,1200,2314.83,7,17764.04,204.0,Summer,2025-06-17
Ergonomic Office Chair,Home Goods,11541.43,6000,10598.68,5,57707.15,66.0,Summer,2025-06-17
Ceramic Essential Oil Diffuser,Home Goods,1804.46,800,1934.38,3,5413.38,158.0,Summer,2025-06-17
UltraHD 4K Smart TV,Electronics,45415.87,32000,42885.36,3,136247.61,49.0,Summer,2025-06-18
Wireless Noise-Canceling Headphones,Electronics,7652.04,4500,8494.47,2,15304.08,125.0,Summer,2025-06-18
Classic Denim Jacket,Apparel,2399.42,1200,2435.37,7,16795.94,208.0,Summer,2025-06-18
Waterproof Hiking Boots,Apparel,4290.47,2200,4853.9,5,21452.35,81.0,Summer,2025-06-18
Ergonomic Office Chair,Home Goods,10792.88,6000,10516.86,4,43171.52,67.0,Summer,2025-06-18
Ceramic Essential Oil Diffuser,Home Goods,1861.61,800,1942.16,4,7446.44,161.0,Summer,2025-06-18
UltraHD 4K Smart TV,Electronics,45093.75,32000,46141.77,5,225468.75,45.0,Summer,2025-06-19
Wireless Noise-Canceling Headphones,Electronics,8069.4,4500,8505.21,10,80694.0,115.0,Summer,2025-06-19
Classic Denim Jacket,Apparel,2480.85,1200,2379.82,8,19846.8,207.0,Summer,2025-06-19
Waterproof Hiking Boots,Apparel,4364.48,2200,4779.46,3,13093.44,78.0,Summer,2025-06-19
Ergonomic Office Chair,Home Goods,11468.93,6000,10626.9,6,68813.58,69.0,Summer,2025-06-19
Ceramic Essential Oil Diffuser,Home Goods,1769.56,800,1881.92,8,14156.48,160.0,Summer,2025-06-19
UltraHD 4K Smart TV,Electronics,45410.84,32000,43698.01,3,136232.52,42.0,Summer,2025-06-20
Wireless Noise-Canceling Headphones,Electronics,8377.37,4500,8428.89,5,41886.85,119.0,Summer,2025-06-20
Classic Denim Jacket,Apparel,2439.02,1200,2311.76,3,7317.06,210.0,Summer,2025-06-20
Waterproof Hiking Boots,Apparel,4528.47,2200,4773.51,5,22642.35,79.0,Summer,2025-06-20
Ergonomic Office Chair,Home Goods,11043.83,6000,10250.57,6,66262.98,73.0,Summer,2025-06-20
Ceramic Essential Oil Diffuser,Home Goods,1868.48,800,1969.4,10,18684.8,154.0,Summer,2025-06-20
Classic Denim Jacket,Apparel,2598.14,1200,2407.55,6,15588.84,215.0,Summer,2025-06-21
Waterproof Hiking Boots,Apparel,4683.07,2200,4614.32,9,42147.63,73.0,Summer,2025-06-21
Ergonomic Office Chair,Home Goods,10785.26,6000,10218.31,8,86282.08,69.0,Summer,2025-06-21
Ceramic Essential Oil Diffuser,Home Goods,1758.49,800,1910.08,7,12309.43,154.0,Summer,2025-06-21
Wireless Noise-Canceling Headphones,Electronics,8377.43,4500,8503.37,7,58642.01,113.0,Summer,2025-06-22
Waterproof Hiking Boots,Apparel,4723.98,2200,4612.31,2,9447.96,72.0,Summer,2025-06-22
Ergonomic Office Chair,Home Goods,10486.36,6000,10369.86,1,10486.36,70.0,Summer,2025-06-22
Ceramic Essential Oil Diffuser,Home Goods,1805.57,800,1941.85,7,12638.99,153.0,Summer,2025-06-22
UltraHD 4K Smart TV,Electronics,46177.29,32000,43565.99,5,230886.45,44.0,Summer,2025-06-23
Wireless Noise-Canceling Headphones,Electronics,8386.74,4500,8133.63,1,8386.74,120.0,Summer,2025-06-23
Classic Denim Jacket,Apparel,2421.63,1200,2311.83,4,9686.52,222.0,Summer,2025-06-23
Waterproof Hiking Boots,Apparel,4282.46,2200,4704.55,3,12847.38,72.0,Summer,2025-06-23
Ergonomic Office Chair,Home Goods,10641.8,6000,10660.39,7,74492.6,64.0,Summer,2025-06-23
UltraHD 4K Smart TV,Electronics,46058.47,32000,43464.29,3,138175.41,47.0,Summer,2025-06-24
Wireless Noise-Canceling Headphones,Electronics,8253.78,4500,8236.21,1,8253.78,120.0,Summer,2025-06-24
Ergonomic Office Chair,Home Goods,11420.9,6000,10238.51,8,91367.2,58.0,Summer,2025-06-24
Classic Denim Jacket,Apparel,2596.94,1200,2467.38,1,2596.94,228.0,Summer,2025-06-25
Ergonomic Office Chair,Home Goods,11088.76,6000,10392.72,8,88710.08,52.0,Summer,2025-06-25
UltraHD 4K Smart TV,Electronics,44124.14,32000,44448.78,3,132372.42,52.0,Summer,2025-06-26
Wireless Noise-Canceling Headphones,Electronics,7614.46,4500,8195.99,4,30457.84,123.0,Summer,2025-06-26
Classic Denim Jacket,Apparel,2587.31,1200,2430.26,1,2587.31,238.0,Summer,2025-06-26
Waterproof Hiking Boots,Apparel,4561.35,2200,4606.17,6,27368.1,71.0,Summer,2025-06-26
Ergonomic Office Chair,Home Goods,11431.25,6000,10610.16,2,22862.5,54.0,Summer,2025-06-26
Ceramic Essential Oil Diffuser,Home Goods,1813.84,800,1948.83,6,10883.04,158.0,Summer,2025-06-26
Wireless Noise-Canceling Headphones,Electronics,7619.45,4500,8295.43,1,7619.45,133.0,Summer,2025-06-27
Ceramic Essential Oil Diffuser,Home Goods,1712.78,800,2016.82,1,1712.78,161.0,Summer,2025-06-27
UltraHD 4K Smart TV,Electronics,47161.49,32000,42988.23,4,188645.96,54.0,Summer,2025-06-28
Wireless Noise-Canceling Headphones,Electronics,7988.22,4500,8116.48,6,47929.32,136.0,Summer,2025-06-28
Waterproof Hiking Boots,Apparel,4369.01,2200,4764.35,8,34952.08,64.0,Summer,2025-06-28
Ergonomic Office Chair,Home Goods,10774.82,6000,10350.94,8,86198.56,46.0,Summer,2025-06-28
Ceramic Essential Oil Diffuser,Home Goods,1837.6,800,1958.24,8,14700.8,162.0,Summer,2025-06-28
Waterproof Hiking Boots,Apparel,4500.68,2200,4812.16,1,4500.68,70.0,Summer,2025-06-29
Wireless Noise-Canceling Headphones,Electronics,7900.47,4500,7933.65,7,55303.29,134.0,Summer,2025-06-30
Classic Denim Jacket,Apparel,2413.76,1200,2492.51,6,14482.56,241.0,Summer,2025-06-30
Ergonomic Office Chair,Home Goods,10492.72,6000,10334.74,5,52463.6,41.0,Summer,2025-06-30
UltraHD 4K Smart TV,Electronics,47093.63,32000,44347.86,5,235468.15,52.0,Summer,2025-07-01
Wireless Noise-Canceling Headphones,Electronics,8159.61,4500,7962.76,2,16319.22,143.0,Summer,2025-07-01
Waterproof Hiking Boots,Apparel,4454.47,2200,4675.0,8,35635.76,71.0,Summer,2025-07-01
Ergonomic Office Chair,Home Goods,11508.91,6000,10782.22,8,92071.28,44.0,Summer,2025-07-01
Ceramic Essential Oil Diffuser,Home Goods,1741.19,800,1896.4,2,3482.38,165.0,Summer,2025-07-01
Wireless Noise-Canceling Headphones,Electronics,7823.95,4500,8498.39,8,62591.6,139.0,Summer,2025-07-02
Classic Denim Jacket,Apparel,2479.9,1200,2351.56,3,7439.7,242.0,Summer,2025-07-02
Waterproof Hiking Boots,Apparel,4428.85,2200,4546.52,1,4428.85,73.0,Summer,2025-07-02
Ergonomic Office Chair,Home Goods,10468.88,6000,10721.23,5,52344.4,45.0,Summer,2025-07-02
Ceramic Essential Oil Diffuser,Home Goods,1793.64,800,1973.36,7,12555.48,162.0,Summer,2025-07-02
Wireless Noise-Canceling Headphones,Electronics,7612.24,4500,8484.33,1,7612.24,145.0,Summer,2025-07-03
Classic Denim Jacket,Apparel,2415.73,1200,2317.55,7,16910.11,236.0,Summer,2025-07-03
Waterproof Hiking Boots,Apparel,4538.6,2200,4865.53,9,40847.4,75.0,Summer,2025-07-03
Ergonomic Office Chair,Home Goods,11157.62,6000,10464.93,3,33472.86,52.0,Summer,2025-07-03
UltraHD 4K Smart TV,Electronics,47075.36,32000,45943.05,2,94150.72,52.0,Summer,2025-07-04
Wireless Noise-Canceling Headphones,Electronics,7869.24,4500,8302.15,2,15738.48,145.0,Summer,2025-07-04
Classic Denim Jacket,Apparel,2404.54,1200,2437.77,8,19236.32,231.0,Summer,2025-07-04
Waterproof Hiking Boots,Apparel,4710.41,2200,4718.04,5,23552.05,78.0,Summer,2025-07-04
Ergonomic Office Chair,Home Goods,11083.52,6000,10694.58,4,44334.08,49.0,Summer,2025-07-04
Ceramic Essential Oil Diffuser,Home Goods,1814.5,800,2007.27,6,10887.0,167.0,Summer,2025-07-04
UltraHD 4K Smart TV,Electronics,46128.92,32000,45406.17,9,415160.28,43.0,Summer,2025-07-05
Wireless Noise-Canceling Headphones,Electronics,7997.25,4500,8127.59,3,23991.75,142.0,Summer,2025-07-05
Classic Denim Jacket,Apparel,2614.64,1200,2466.65,8,20917.12,229.0,Summer,2025-07-05
Ergonomic Office Chair,Home Goods,10980.77,6000,10494.14,5,54903.85,48.0,Summer,2025-07-05
Ceramic Essential Oil Diffuser,Home Goods,1769.16,800,1976.91,5,8845.8,166.0,Summer,2025-07-05
Classic Denim Jacket,Apparel,2498.61,1200,2315.05,4,9994.44,227.0,Summer,2025-07-06
Ergonomic Office Chair,Home Goods,10578.77,6000,,1,10578.77,52.0,Summer,2025-07-06
